codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
633,2019,2,43,9,10,1,0,1,2,1,1,1,1,1,7,7,3,1,2,2,2,2,6,6,3,4,4,7,7,7,2,1,1,1,2,NA
634,2017,1,31,3,7,NA,1,3,3,3,5,3,3,3,5,5,4,3,2,2,2,2,5,5,4,5,5,6,6,7,NA,NA,NA,NA,1,3
636,2017,1,36,9,10,NA,5,53,4,1,1,4,1,7,1,1,4,7,2,1,2,1,2,2,2,2,2,2,8,7,NA,NA,NA,NA,1,NA
636,2018,1,37,9,10,1,5,51,3,5,1,3,2,5,1,1,2,5,2,1,2,1,5,4,7,5,5,7,7,7,2,2,2,2,2,NA
636,2019,1,38,9,10,1,6,4,3,5,1,2,7,6,1,1,7,6,2,1,2,1,6,3,4,4,3,6,6,6,2,2,2,1,2,NA
636,2020,1,39,9,12,1,5,53,3,7,1,3,4,7,1,1,1,1,2,1,2,1,4,4,4,4,4,4,6,8,2,2,2,1,2,NA
639,2017,2,35,11,99,NA,2,1,2,2,6,1,2,1,5,6,4,2,2,1,2,1,4,4,5,4,6,4,6,3,NA,NA,NA,NA,4,NA
639,2018,2,36,11,9,0,2,1,2,1,1,1,1,1,6,6,1,1,1,2,2,1,4,4,4,4,4,4,6,4,1,1,1,1,4,1
639,2019,2,37,11,9,0,2,1,2,1,6,1,1,1,6,6,4,1,1,1,2,1,4,4,5,4,4,6,5,5,1,1,1,1,4,NA
641,2017,2,51,9,99,NA,8,4,3,7,2,7,5,7,4,4,4,4,2,2,2,2,7,6,7,7,6,7,5,2,NA,NA,NA,NA,1,4
641,2018,2,51,9,99,1,7,54,1,3,5,5,3,6,6,6,6,3,2,2,2,1,7,6,5,7,4,7,5,5,1,1,2,1,2,56
641,2019,2,52,9,99,1,9,54,3,5,1,7,6,5,4,4,4,5,2,2,2,1,7,7,5,7,7,7,2,10,2,1,2,1,1,NA
641,2020,2,53,9,99,0,8,55,3,6,2,6,6,5,4,4,5,6,2,2,2,2,4,7,7,7,3,7,1,2,2,2,2,1,2,NA
647,2017,1,38,9,8,NA,3,1,2,2,6,1,3,3,6,5,2,2,1,1,2,1,6,3,5,5,6,7,6,7,NA,NA,NA,NA,4,4
647,2018,1,39,9,8,1,3,1,2,2,6,1,2,2,7,7,5,2,1,1,2,1,6,5,6,5,6,7,7,5,2,2,2,1,4,1
647,2019,1,40,9,8,1,3,1,2,2,5,2,2,2,6,6,2,1,1,1,2,2,6,6,6,5,6,7,7,8,2,2,1,1,4,NA
648,2017,2,30,11,7,NA,7,1,2,4,3,4,3,6,4,4,3,6,2,2,2,1,4,2,5,4,4,5,7,7,NA,NA,NA,NA,3,1
650,2017,1,37,4,10,NA,2,3,3,2,5,5,2,2,5,5,5,2,1,1,2,2,7,7,6,4,7,7,8,7,NA,NA,NA,NA,1,3
654,2017,1,38,3,4,NA,5,50,3,3,5,3,3,3,5,5,4,3,1,2,2,1,4,4,4,4,4,5,3,8,NA,NA,NA,NA,4,50
654,2018,1,39,3,5,1,5,50,3,3,5,3,3,3,5,5,4,3,1,2,2,1,3,4,3,4,4,5,3,7,2,2,2,1,4,50
654,2019,1,40,4,6,1,5,25,3,4,3,5,5,5,4,4,5,4,1,2,2,2,5,4,3,3,3,4,2,8,2,1,2,1,4,NA
655,2017,1,43,5,6,NA,1,7,3,1,6,1,1,2,6,7,3,1,1,1,2,1,7,5,6,6,7,5,5,5,NA,NA,NA,NA,5,7
655,2018,1,43,5,6,1,2,7,2,1,7,1,1,2,7,7,3,1,1,1,2,1,7,5,4,6,6,6,8,5,1,2,1,1,5,7
658,2018,2,31,8,99,1,5,4,3,2,4,3,4,3,4,5,4,3,2,2,2,1,4,4,3,4,3,5,5,7,2,2,2,1,2,54
660,2017,1,25,11,99,NA,3,52,2,4,3,3,2,5,5,3,5,4,2,1,2,1,4,3,4,4,3,5,8,5,NA,NA,NA,NA,3,56
660,2018,1,26,11,99,1,5,52,2,7,1,7,7,4,1,1,1,7,2,1,2,1,6,4,4,5,4,7,5,6,2,2,2,2,1,NA
660,2020,1,28,11,7,1,5,55,2,7,1,3,7,5,4,4,7,5,1,1,2,2,6,2,1,2,5,4,8,3,2,2,2,2,3,NA
663,2017,1,47,4,9,NA,2,3,2,2,4,6,7,7,5,7,7,4,2,2,2,2,7,1,7,7,7,7,3,8,NA,NA,NA,NA,5,3
663,2018,1,48,3,10,1,2,3,1,4,4,5,2,5,4,5,5,4,2,2,2,2,7,3,3,7,7,4,5,6,2,2,2,1,5,3
663,2019,1,49,4,10,1,2,7,1,6,1,4,5,7,3,3,4,3,2,2,2,1,7,3,7,7,7,7,5,5,1,1,1,1,5,NA
663,2020,1,50,3,10,1,2,7,1,5,2,5,6,5,2,4,5,5,2,2,1,1,7,1,4,3,6,7,8,8,2,2,2,1,5,NA
664,2017,2,41,8,7,NA,6,4,2,2,5,5,3,3,5,6,4,2,2,2,2,2,6,3,5,3,3,5,6,6,NA,NA,NA,NA,3,4
664,2018,2,42,9,11,1,8,4,2,3,3,3,3,3,3,3,4,2,2,2,2,1,5,4,4,4,4,5,7,6,2,2,1,1,4,2
664,2019,2,43,8,5,1,7,2,2,1,4,3,2,6,4,5,6,2,2,2,2,2,5,5,5,2,2,5,8,7,2,2,2,1,2,NA
664,2020,2,44,8,8,1,8,55,2,1,3,2,3,5,2,5,6,2,2,1,2,2,1,4,7,3,5,7,7,8,2,2,2,2,2,NA
666,2017,2,28,9,99,NA,5,54,2,2,2,7,1,2,7,7,1,7,2,1,2,1,4,4,4,4,4,4,8,2,NA,NA,NA,NA,3,56
668,2017,2,28,10,9,NA,5,4,3,3,5,2,3,3,6,6,4,2,2,2,2,1,6,3,5,5,6,7,5,3,NA,NA,NA,NA,4,4
668,2018,2,29,10,9,0,5,4,3,3,6,3,3,2,6,6,5,3,2,1,2,1,5,3,5,5,5,6,6,4,2,1,2,1,4,4
668,2020,2,31,10,9,0,5,1,3,2,5,2,2,2,6,6,6,2,2,2,2,1,5,3,5,5,3,5,7,5,2,2,2,1,4,NA
669,2019,2,37,3,99,1,10,1,3,4,7,5,5,4,7,7,4,5,2,2,2,2,5,4,7,5,7,7,3,3,1,1,1,1,1,NA
669,2020,2,38,3,9,1,6,55,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,4,5,3,6,4,1,3,2,2,2,2,1,NA
672,2017,2,44,8,10,NA,4,3,2,3,3,1,1,3,4,5,5,2,2,2,2,1,5,1,2,4,5,6,5,5,NA,NA,NA,NA,3,3
672,2019,2,46,8,11,1,3,1,1,1,5,1,1,1,5,5,3,1,2,2,2,1,4,3,3,1,4,6,6,8,2,2,1,1,3,NA
672,2020,2,47,8,10,1,4,53,2,1,5,1,1,2,5,5,3,1,2,2,2,1,3,3,6,1,4,6,7,7,2,2,2,1,3,NA
675,2017,1,23,10,99,NA,0,5,1,1,7,1,1,1,7,7,1,1,1,1,2,1,7,5,4,5,7,4,10,5,NA,NA,NA,NA,5,5
675,2018,1,24,11,99,0,0,5,1,1,7,7,1,1,7,7,4,1,1,1,2,1,7,5,1,4,7,6,10,5,2,1,1,1,5,5
675,2019,1,25,11,11,0,0,5,1,1,7,1,1,1,7,7,1,1,1,1,2,1,7,5,4,4,1,7,8,5,2,1,1,1,5,NA
675,2020,1,26,11,7,1,0,26,1,1,7,1,1,1,7,7,1,1,2,1,2,1,7,4,3,4,7,5,10,5,2,2,2,1,5,NA
678,2017,2,48,3,8,NA,2,3,1,2,7,4,2,7,7,7,7,1,1,1,2,1,7,4,7,5,7,5,6,5,NA,NA,NA,NA,4,3
678,2018,2,49,3,8,0,3,3,1,1,1,2,1,4,1,7,1,1,1,2,2,2,7,4,2,7,7,7,7,5,2,1,1,1,3,3
678,2019,2,50,3,8,0,3,3,1,3,5,3,4,7,6,5,7,3,1,2,2,1,7,4,4,6,5,4,7,5,1,2,1,1,3,NA
678,2020,2,51,3,8,0,3,3,1,1,3,3,3,3,5,4,5,1,1,2,2,1,7,5,4,4,5,4,8,0,2,2,2,1,3,NA
680,2017,2,45,5,99,NA,3,53,3,4,5,4,4,4,4,5,4,4,2,2,2,1,6,7,2,4,4,7,5,5,NA,NA,NA,NA,1,NA
680,2018,2,46,5,99,0,5,54,3,4,4,3,3,2,4,4,4,4,2,2,2,2,4,5,4,4,4,6,5,5,2,2,2,1,4,NA
680,2019,2,47,8,99,0,4,54,3,4,4,4,4,4,4,4,4,4,1,1,2,2,4,4,4,4,4,4,5,8,2,2,2,1,3,NA
680,2020,2,48,5,6,0,3,51,3,5,5,4,5,5,3,4,3,3,1,1,2,2,5,4,4,6,5,6,7,5,2,2,2,1,3,NA
683,2017,2,43,5,9,NA,6,4,2,4,7,5,3,2,5,5,2,3,1,1,2,1,5,5,6,3,5,5,7,2,NA,NA,NA,NA,3,4
683,2018,2,44,5,4,0,5,4,2,1,7,5,2,1,7,7,7,1,2,1,2,1,3,6,7,5,5,6,9,5,1,1,1,1,3,4
683,2019,2,45,5,8,1,4,4,2,3,5,5,3,3,5,6,1,1,1,1,2,1,6,7,3,4,5,5,10,0,2,2,2,1,3,NA
683,2020,2,46,5,8,1,5,4,2,3,5,5,3,3,5,7,1,3,2,1,2,1,4,5,4,4,5,5,9,6,2,2,1,1,3,NA
686,2017,1,31,11,3,NA,4,3,3,3,5,1,3,2,4,6,4,3,1,1,2,1,5,5,4,3,4,6,7,6,NA,NA,NA,NA,3,3
686,2018,1,32,11,3,0,4,54,3,1,3,2,3,2,4,3,3,2,1,1,2,2,5,5,4,4,4,6,7,5,2,2,2,2,3,3
686,2019,1,33,11,5,0,5,3,3,3,4,3,3,3,4,5,4,3,1,2,2,1,5,4,4,4,5,6,8,5,2,2,2,2,3,NA
686,2020,1,34,11,5,0,5,3,3,3,5,2,3,4,4,5,5,3,1,1,2,1,3,3,3,1,6,5,8,2,2,2,2,2,3,NA
687,2017,2,34,3,99,NA,9,54,1,1,4,1,1,4,1,5,4,4,2,2,2,2,4,4,4,2,1,7,0,10,NA,NA,NA,NA,1,2
687,2018,2,35,3,5,1,7,54,4,4,4,4,4,4,4,4,4,4,2,2,2,1,7,4,4,3,5,7,10,10,2,1,1,1,5,56
687,2019,2,36,3,99,1,5,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,5,5,1,2,2,2,3,NA
688,2017,1,42,3,5,NA,3,3,2,2,5,5,6,6,6,5,5,6,2,2,2,2,6,6,5,6,6,6,7,8,NA,NA,NA,NA,5,3
688,2018,1,43,3,5,1,1,3,2,7,6,2,3,3,7,6,3,2,1,2,2,2,6,6,5,6,6,6,8,9,1,1,2,2,5,3
688,2019,1,44,3,4,1,2,7,1,1,6,3,3,3,7,5,5,1,2,2,2,2,7,5,6,5,7,7,6,5,1,2,1,1,5,NA
688,2020,1,45,3,4,0,2,7,2,3,6,6,5,6,6,6,5,3,2,1,2,1,7,6,5,7,7,7,7,7,1,1,1,1,5,NA
689,2017,2,42,10,9,NA,8,4,2,6,2,4,5,6,2,4,5,6,2,2,2,2,7,4,6,5,5,7,0,10,NA,NA,NA,NA,1,4
691,2017,2,38,11,6,NA,3,5,2,2,6,2,2,3,6,7,1,1,1,2,2,1,6,4,4,5,3,7,7,4,NA,NA,NA,NA,4,5
694,2020,2,34,11,10,1,5,52,2,4,4,2,1,3,3,4,5,4,2,2,2,1,7,2,7,7,7,7,5,8,2,2,2,1,2,NA
695,2017,2,46,3,7,NA,5,3,2,2,6,3,1,2,6,6,3,2,2,2,2,1,7,2,6,6,6,7,3,8,NA,NA,NA,NA,1,3
695,2018,2,47,3,6,1,3,3,2,1,6,3,3,3,5,7,6,2,1,1,2,1,7,5,6,5,5,6,4,3,2,2,1,1,1,3
695,2019,2,48,4,6,1,6,54,3,2,5,3,2,3,5,6,4,2,2,2,2,2,7,6,5,6,6,7,7,3,1,1,2,1,1,NA
695,2020,2,49,3,3,0,6,2,2,5,5,5,4,5,3,2,5,5,1,1,2,1,6,3,6,3,5,7,6,6,2,2,2,1,1,NA
697,2017,1,47,7,8,NA,6,2,3,5,3,4,6,4,1,3,5,5,1,1,2,1,3,4,4,2,2,4,5,7,NA,NA,NA,NA,2,2
697,2019,1,49,7,8,1,8,2,2,5,4,6,6,4,2,3,6,4,1,1,2,1,2,3,3,2,4,6,5,7,2,2,2,2,2,NA
698,2017,2,37,11,6,NA,7,54,3,2,5,2,3,3,2,5,6,2,2,2,2,1,3,3,5,2,3,5,8,9,NA,NA,NA,NA,2,56
698,2018,2,37,11,6,0,5,4,2,5,5,3,4,5,3,3,4,5,2,2,2,2,3,3,3,5,2,6,8,8,2,2,2,1,2,4
698,2019,2,39,11,6,0,8,4,3,4,4,2,3,5,2,3,4,4,2,2,2,1,5,4,4,3,3,5,8,8,2,2,2,2,2,NA
698,2020,2,39,11,6,0,6,55,2,3,4,3,2,3,2,5,5,6,2,2,2,2,5,4,4,7,4,6,5,7,2,2,2,2,2,NA
701,2017,1,40,10,9,NA,4,3,2,4,2,3,5,4,6,5,3,3,2,1,2,1,5,2,4,3,3,5,3,7,NA,NA,NA,NA,5,3
701,2018,1,41,10,9,1,3,3,2,2,4,1,3,3,7,5,1,5,2,1,2,1,6,3,3,5,4,6,6,6,2,1,2,1,4,3
701,2019,1,42,10,9,1,4,3,2,2,4,6,3,3,5,5,3,2,2,1,2,1,6,3,6,4,4,5,6,4,2,1,2,1,5,NA
701,2020,1,42,10,9,1,4,3,2,2,3,2,2,2,6,6,6,2,1,1,2,1,6,3,3,4,5,7,6,7,2,2,2,2,4,NA
702,2017,2,34,3,5,NA,10,54,2,3,4,4,4,4,4,4,4,4,2,2,2,2,7,5,5,7,7,7,7,8,NA,NA,NA,NA,1,2
702,2018,2,35,3,5,1,10,2,3,1,7,1,1,1,7,7,7,1,2,2,2,2,7,7,7,7,7,7,7,7,2,2,1,1,1,2
703,2018,2,29,8,7,1,5,4,3,1,6,5,2,2,5,5,2,2,2,2,2,1,7,7,1,7,7,7,8,1,1,1,2,1,1,51
704,2017,1,45,4,5,NA,3,1,4,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,4,4,4,4,5,5,NA,NA,NA,NA,3,1
704,2018,1,46,4,7,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,4,4,4,4,4,4,5,4,2,2,2,2,3,1
704,2019,1,47,4,7,1,1,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,6,3,2,2,2,2,3,NA
704,2020,1,47,4,6,1,5,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,5,4,2,2,2,2,3,NA
706,2017,1,51,11,10,NA,5,53,2,3,3,4,4,4,3,4,3,5,2,1,2,1,4,3,3,3,4,4,3,4,NA,NA,NA,NA,4,NA
707,2019,2,38,11,11,1,3,54,3,3,5,3,3,3,5,6,3,2,1,1,2,1,5,4,4,4,5,6,5,6,2,2,2,1,5,NA
707,2020,2,39,11,10,1,3,7,3,2,5,3,3,2,4,5,4,3,1,1,2,1,5,3,5,3,5,5,6,5,2,2,2,2,5,NA
712,2017,2,36,10,8,NA,2,1,3,2,5,3,2,3,5,5,5,3,2,2,2,1,5,3,4,4,5,5,1,4,NA,NA,NA,NA,3,NA
712,2018,2,37,10,10,1,3,1,3,3,5,4,4,4,5,5,5,3,2,2,2,1,5,5,4,3,5,6,1,7,2,2,2,1,4,3
712,2019,2,38,10,10,1,4,1,3,3,5,2,3,3,5,5,5,3,2,2,2,1,6,4,4,5,5,5,2,3,2,2,2,2,3,NA
712,2020,2,39,10,10,1,4,1,3,4,5,4,4,3,5,4,5,3,2,1,2,1,5,4,4,4,5,4,2,2,2,2,2,2,3,NA
714,2018,2,40,10,99,0,3,54,4,1,5,2,4,7,6,5,5,2,2,2,2,1,6,6,6,6,7,7,5,8,2,2,2,1,4,NA
714,2019,2,41,10,99,1,3,54,3,2,7,2,2,2,6,6,2,2,2,1,2,1,5,4,6,7,7,7,7,7,2,2,2,1,4,NA
723,2017,2,39,10,10,NA,10,2,2,1,1,6,6,6,1,2,5,6,2,2,2,1,1,4,1,1,1,4,0,10,NA,NA,NA,NA,1,2
724,2017,2,41,3,7,NA,5,4,3,1,7,3,7,1,4,7,2,4,2,2,2,2,6,4,7,7,4,7,0,10,NA,NA,NA,NA,1,NA
724,2018,2,42,3,6,1,5,4,3,1,7,1,1,1,7,7,5,1,2,2,2,1,6,4,7,7,7,7,0,10,2,2,2,2,1,4
724,2020,2,44,3,8,1,5,4,3,1,7,1,1,1,7,7,1,1,2,2,2,2,7,7,7,7,3,7,0,10,2,2,2,2,1,NA
728,2018,2,35,11,99,0,5,53,1,3,4,3,4,4,7,4,6,4,2,1,2,1,7,1,7,1,6,7,4,10,1,1,1,1,4,NA
728,2020,2,37,11,1,0,5,53,1,3,5,4,7,1,6,4,1,4,2,1,2,1,7,1,7,7,7,7,5,5,2,2,2,2,4,NA
729,2017,2,49,8,9,NA,3,1,1,1,7,7,1,7,7,7,4,1,1,2,2,1,1,1,1,3,7,7,2,10,NA,NA,NA,NA,1,1
729,2018,2,50,8,9,1,3,54,2,1,7,1,1,1,7,7,4,1,2,2,2,1,7,3,7,1,7,7,2,10,1,1,2,1,1,1
729,2019,2,51,8,10,1,3,54,2,1,7,1,1,1,7,7,7,1,1,2,2,1,4,4,4,4,4,7,0,10,2,2,2,1,1,NA
729,2020,2,52,8,9,1,6,1,2,1,7,4,1,4,7,3,5,1,2,2,2,2,7,1,4,1,7,3,6,10,1,1,1,1,4,NA
732,2019,1,48,3,99,1,1,1,2,1,4,5,3,3,5,6,5,1,2,2,2,2,5,3,4,4,4,4,5,5,2,2,1,1,2,NA
733,2017,2,49,8,2,NA,5,53,3,3,6,5,3,2,6,6,6,1,2,2,2,1,6,1,6,4,6,7,5,5,NA,NA,NA,NA,2,NA
733,2020,2,52,8,2,0,5,53,3,1,5,3,1,1,4,5,3,2,2,2,1,1,4,1,4,1,4,6,5,7,2,2,2,1,4,NA
734,2017,1,39,4,6,NA,9,1,3,5,4,2,4,5,4,3,4,5,2,2,2,2,3,3,3,4,5,7,8,7,NA,NA,NA,NA,3,NA
734,2019,1,41,4,6,1,6,1,2,4,5,5,4,6,5,5,5,4,2,2,1,1,5,4,4,4,5,5,6,6,2,2,2,1,1,NA
734,2020,1,42,4,7,1,0,1,2,5,4,6,5,5,4,4,3,4,2,2,1,1,3,5,4,1,2,3,5,5,2,2,2,2,1,NA
737,2017,2,33,9,99,NA,6,54,3,3,5,3,3,3,5,5,5,3,2,2,2,2,4,5,5,5,5,5,5,5,NA,NA,NA,NA,4,56
737,2018,2,34,9,99,1,5,54,3,3,5,3,3,3,5,5,4,3,2,2,2,2,1,3,3,3,5,6,1,8,2,2,2,2,4,56
737,2019,2,35,9,99,1,6,54,3,3,6,3,3,3,2,6,5,2,2,2,2,2,4,6,5,2,4,6,5,5,2,2,2,2,4,NA
737,2020,2,36,9,10,1,6,55,3,3,5,5,3,3,6,5,2,3,2,2,2,2,5,1,7,5,3,7,5,4,2,2,2,2,2,NA
738,2017,2,30,6,99,NA,3,1,2,2,6,4,6,1,6,6,2,2,2,2,2,2,6,6,4,5,2,5,0,3,NA,NA,NA,NA,4,3
738,2018,2,31,6,99,0,3,3,2,2,5,2,3,1,6,6,6,1,2,2,2,1,5,4,5,4,5,2,6,0,1,2,1,1,4,3
738,2019,2,32,8,99,0,3,1,2,2,6,1,3,2,6,6,5,2,2,2,2,2,2,4,4,4,4,2,8,6,1,1,1,1,3,NA
738,2020,2,33,8,7,0,4,1,2,2,6,2,2,2,6,5,3,2,2,2,2,1,5,4,4,4,4,5,8,5,2,2,2,1,3,NA
749,2017,1,44,9,9,NA,5,1,3,2,6,2,2,3,5,6,4,3,1,1,2,1,6,4,5,5,6,7,3,7,NA,NA,NA,NA,2,1
749,2018,1,45,9,8,1,7,4,3,3,5,1,2,3,4,5,5,3,1,1,2,1,5,6,4,5,5,6,1,9,2,2,2,1,2,2
750,2017,1,37,9,7,NA,5,54,2,2,5,2,2,2,5,5,2,2,2,1,2,1,5,5,6,3,6,6,7,5,NA,NA,NA,NA,2,NA
750,2018,1,38,9,7,0,5,54,2,2,6,2,2,2,5,5,3,2,2,1,2,1,5,3,5,5,5,7,8,3,2,2,2,1,3,NA
750,2019,1,39,9,7,0,5,54,2,3,4,3,3,3,5,5,5,3,1,1,2,1,4,4,6,4,5,6,6,5,2,2,2,2,1,NA
750,2020,1,40,9,7,0,5,55,2,3,4,3,3,3,4,4,4,3,1,1,2,1,6,4,6,4,5,7,5,5,2,2,2,2,3,NA
751,2017,1,34,11,99,NA,5,1,1,2,5,4,2,3,5,7,1,3,2,1,2,1,4,3,2,5,4,7,7,5,NA,NA,NA,NA,3,56
753,2017,1,24,5,99,NA,7,54,3,4,4,4,4,5,4,4,3,3,2,1,1,2,4,4,4,3,3,4,5,5,NA,NA,NA,NA,2,56
753,2018,1,25,5,99,0,6,4,2,3,4,3,3,3,2,3,3,4,1,2,1,2,4,3,3,3,3,3,4,7,1,1,2,1,3,NA
753,2019,1,26,5,99,0,6,4,3,5,4,4,3,3,4,3,4,4,2,2,1,2,4,4,3,4,4,4,5,5,2,2,2,1,1,NA
753,2020,1,27,5,9,0,8,23,2,3,5,2,3,4,2,3,4,3,2,2,2,1,4,4,4,4,4,4,6,5,2,2,2,2,2,NA
754,2017,1,47,3,6,NA,2,3,2,3,4,5,3,4,4,4,3,3,1,1,2,1,7,5,7,4,6,7,4,7,NA,NA,NA,NA,1,3
754,2018,1,48,3,6,1,2,3,2,3,4,2,4,3,4,4,5,4,1,2,2,1,7,1,7,4,6,7,5,8,2,2,2,1,1,3
754,2019,1,49,3,6,1,3,3,2,4,5,4,3,3,3,4,5,3,1,1,2,1,2,7,7,4,3,7,4,6,2,2,2,1,1,NA
754,2020,1,50,3,6,1,3,3,2,3,5,4,3,3,5,4,4,3,1,1,2,1,7,3,7,4,6,7,4,8,2,2,1,1,1,NA
756,2017,1,46,9,11,NA,2,3,2,6,5,4,3,2,4,7,3,1,2,1,2,1,7,3,7,7,7,7,4,8,NA,NA,NA,NA,5,3
756,2018,1,47,9,11,1,3,3,2,2,5,4,2,5,6,7,2,1,2,1,2,1,7,1,5,4,6,7,5,7,2,1,1,1,5,6
756,2019,1,48,9,11,1,3,1,2,2,3,3,3,2,5,7,3,1,2,1,2,1,7,2,3,4,5,7,6,3,2,2,1,1,5,NA
756,2020,1,49,9,11,1,2,1,2,3,2,3,3,2,6,6,4,3,2,1,2,1,7,2,5,6,3,7,8,2,2,2,1,1,5,NA
759,2017,2,34,10,99,NA,4,1,2,1,5,1,1,1,5,7,2,1,1,2,2,2,7,4,6,7,7,7,6,8,NA,NA,NA,NA,4,1
759,2018,2,35,10,99,1,5,54,3,1,6,1,1,1,7,7,4,1,2,2,2,2,5,6,6,6,5,7,5,7,1,1,2,1,4,56
759,2019,2,36,10,99,0,5,54,3,1,5,3,1,1,6,5,3,1,2,2,2,2,4,3,4,2,4,6,5,5,2,2,1,1,3,NA
760,2017,1,30,11,5,NA,3,1,1,2,6,2,2,2,5,5,2,2,1,1,2,1,3,3,2,3,2,4,8,5,NA,NA,NA,NA,3,1
760,2018,1,31,11,5,1,3,19,1,1,6,2,2,2,6,6,2,2,1,1,2,1,2,2,3,3,4,5,7,5,2,2,2,1,3,1
761,2017,2,40,3,99,NA,0,1,4,7,7,7,7,7,7,7,7,7,2,2,2,1,7,7,7,3,7,7,1,10,NA,NA,NA,NA,1,4
764,2017,1,31,11,5,NA,2,3,2,2,5,2,3,2,6,5,3,1,1,1,2,2,3,2,6,5,5,6,8,3,NA,NA,NA,NA,4,3
764,2018,1,32,11,4,1,2,3,2,2,5,7,2,3,6,7,2,3,1,1,2,1,3,3,5,5,5,6,7,4,1,2,1,1,4,3
764,2019,1,33,11,3,1,2,3,2,1,5,2,2,3,5,6,3,2,1,1,2,1,5,2,5,5,5,4,8,3,1,1,1,1,4,NA
764,2020,1,34,11,4,1,2,3,2,3,5,2,3,3,5,5,1,2,1,1,2,1,4,2,6,6,5,5,7,3,2,1,1,1,4,NA
766,2017,1,42,3,7,NA,5,54,3,2,3,3,2,3,2,2,3,3,2,2,1,2,6,4,5,2,5,7,3,2,NA,NA,NA,NA,1,1
766,2018,1,43,3,9,0,5,4,4,6,4,5,3,4,6,5,5,5,2,2,2,1,6,3,4,6,6,7,6,9,2,2,2,2,5,54
766,2019,1,44,3,8,0,5,54,3,2,6,4,2,3,5,5,4,2,2,1,2,2,6,6,6,2,4,5,8,9,2,2,2,2,1,NA
766,2020,1,45,3,6,0,5,55,4,5,5,3,3,4,3,5,2,2,2,2,2,1,4,3,5,5,3,4,6,7,2,2,2,2,1,NA
767,2018,2,28,11,12,1,4,7,2,1,7,2,1,2,5,2,2,2,1,1,2,1,6,2,5,5,7,5,8,2,1,2,2,1,5,7
767,2019,2,29,11,11,1,4,22,2,1,6,2,1,1,6,6,4,2,1,1,2,1,7,3,6,5,6,7,8,2,1,2,2,2,5,NA
767,2020,2,30,11,11,1,4,7,2,1,1,1,1,1,5,2,2,2,1,1,2,1,5,1,6,4,7,7,8,0,2,2,2,2,5,NA
768,2017,2,46,11,99,NA,5,54,3,1,7,1,1,1,7,7,4,1,2,2,2,1,7,4,6,5,5,6,8,3,NA,NA,NA,NA,2,NA
768,2018,2,47,11,99,0,5,53,3,2,6,2,2,2,5,5,5,2,2,2,2,1,6,5,5,5,5,7,7,7,1,2,1,1,2,NA
768,2019,2,48,11,99,0,5,54,3,1,7,2,1,1,2,6,4,1,2,2,2,1,7,2,5,3,6,6,5,5,2,2,2,2,2,NA
768,2020,2,49,11,5,0,5,55,3,1,7,6,3,1,6,7,6,1,1,2,2,1,7,3,1,7,1,1,7,0,2,2,2,2,2,NA
769,2017,2,39,7,6,NA,10,53,3,4,4,4,4,4,4,4,4,4,2,2,2,2,5,3,3,4,4,5,0,0,NA,NA,NA,NA,3,NA
769,2018,2,40,7,99,1,9,53,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,0,0,2,2,2,2,3,NA
769,2020,2,42,7,6,1,8,53,4,5,3,4,5,4,4,4,4,4,2,2,2,2,6,4,4,6,5,7,0,0,2,2,2,2,3,NA
776,2017,1,33,3,99,NA,5,53,3,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,4,4,2,9,NA,NA,NA,NA,1,NA
776,2018,1,34,3,99,0,0,53,3,4,4,4,4,4,4,4,4,4,2,2,2,1,6,4,4,4,4,5,1,10,2,2,2,2,3,NA
776,2019,1,35,3,99,0,0,53,3,4,2,4,5,4,2,4,4,4,2,2,2,1,4,4,4,4,4,5,7,7,2,2,2,2,3,NA
776,2020,1,36,3,8,0,5,53,3,4,2,4,5,5,3,4,2,6,2,2,2,2,4,4,4,4,4,5,5,9,2,2,2,2,4,NA
778,2017,2,43,3,2,NA,8,2,3,5,1,4,6,6,1,2,6,4,2,2,2,1,1,6,7,4,5,7,0,10,NA,NA,NA,NA,4,2
778,2018,2,44,3,2,0,8,23,2,6,1,6,5,5,1,2,5,6,2,2,2,1,7,7,7,7,4,7,0,10,2,2,2,2,1,2
778,2019,2,45,3,2,0,7,23,2,7,1,2,5,7,1,1,7,3,2,2,2,1,4,5,5,3,3,5,1,10,2,2,2,1,1,NA
782,2017,2,40,10,8,NA,5,4,2,1,7,1,2,1,6,7,1,1,2,2,2,1,6,6,5,4,5,7,3,8,NA,NA,NA,NA,4,4
