codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
3868,2018,1,21,6,99,0,0,54,1,1,7,7,1,1,7,7,7,1,2,2,2,2,7,6,5,4,7,5,9,8,1,2,2,1,4,56
3868,2019,1,22,10,99,0,0,3,1,3,5,3,3,5,3,6,3,1,2,2,2,2,6,5,5,7,7,5,8,0,1,1,2,1,2,NA
3868,2020,1,23,10,2,0,2,3,2,6,3,3,3,3,4,6,3,5,2,2,2,1,3,2,5,5,4,5,8,7,2,2,2,2,3,NA
3869,2018,1,38,9,99,1,2,7,3,1,7,1,1,1,7,7,2,1,1,2,2,1,7,3,6,6,6,6,3,7,2,2,2,1,5,7
3869,2019,1,39,9,99,1,3,7,3,1,5,1,1,1,7,7,1,1,1,2,2,1,7,6,4,5,6,6,6,7,2,2,2,1,5,NA
3869,2020,1,40,9,9,1,3,7,3,1,6,1,2,1,7,7,1,1,2,1,2,1,6,3,5,4,3,5,7,6,2,2,2,1,5,NA
3870,2018,1,38,3,99,1,5,51,4,4,4,4,4,4,4,4,4,4,2,2,1,1,7,4,4,4,4,4,0,0,2,2,2,2,3,52
3871,2018,2,49,3,6,1,5,2,2,4,4,4,3,3,5,4,4,4,2,2,2,1,5,5,6,6,4,6,5,7,2,1,1,1,3,2
3871,2019,2,50,4,6,1,5,2,2,5,4,4,4,4,3,4,5,4,2,2,2,1,4,3,5,3,3,5,5,5,2,2,1,1,3,NA
3872,2018,2,35,11,99,0,5,53,3,4,3,4,4,5,4,4,3,5,2,2,1,2,5,2,4,3,5,5,5,6,2,2,1,1,3,NA
3873,2018,1,37,3,7,1,7,50,3,3,4,4,4,5,3,5,4,4,2,2,2,2,7,2,7,7,6,7,0,0,2,2,2,1,3,50
3873,2019,1,38,3,6,1,3,54,3,3,4,4,4,2,6,4,4,1,2,2,2,1,7,7,7,7,7,7,1,2,2,2,2,2,3,NA
3873,2020,1,39,3,3,1,5,53,3,4,3,7,2,5,2,4,4,1,2,1,2,1,7,1,7,7,7,7,0,10,2,2,2,2,3,NA
